Time,Iterations
0.0113156,7010
0.0113152,7020
0.0113348,7030
0.0113571,7040
0.0113734,7050
0.0113926,7060
0.0114103,7070
0.0114279,7080
0.011458,7090
0.0114606,7100
0.0114836,7110
0.0114977,7120
0.0115236,7130
0.0115352,7140
0.0115568,7150
0.0115746,7160
0.0115923,7170
0.0116123,7180
0.0116292,7190
0.011648,7200
0.0116656,7210
0.0116837,7220
0.0116989,7230
0.011719,7240
0.0117553,7250
0.011755,7260
0.0117797,7270
0.0117914,7280
0.011811,7290
0.0118302,7300
0.0119069,7310
0.0118632,7320
0.0118832,7330
0.0119021,7340
0.0119221,7350
0.0119467,7360
0.0119566,7370
0.0119738,7380
0.0119995,7390
0.0120121,7400
0.0120325,7410
0.0120509,7420
0.0120684,7430
0.0120847,7440
0.0121173,7450
0.0121326,7460
0.0121428,7470
0.0121592,7480
0.0121766,7490
0.0121947,7500
0.0122112,7510
0.0122514,7520
0.0122532,7530
0.0122696,7540
0.0122882,7550
0.0123026,7560
0.012348,7570
0.0123407,7580
0.0123617,7590
0.0123799,7600
0.0123947,7610
0.012416,7620
0.0124332,7630
0.0124531,7640
0.0124708,7650
0.012489,7660
0.0125156,7670
0.0125247,7680
0.0125415,7690
0.0125621,7700
0.0125786,7710
0.0126072,7720
0.0126205,7730
0.0126321,7740
0.0126541,7750
0.0126695,7760
0.0126887,7770
0.0127293,7780
0.0127296,7790
0.0127404,7800
0.0127615,7810
0.0127789,7820
0.0127983,7830
0.0128217,7840
0.0128415,7850
0.0128557,7860
0.0128821,7870
0.0129033,7880
0.0129093,7890
0.0129272,7900
0.0129404,7910
0.0129675,7920
0.0129857,7930
0.0130005,7940
0.0130618,7950
0.0131098,7960
0.0131176,7970
0.0131205,7980
0.0131309,7990
0.0131183,8000
0.0131277,8010
0.0131507,8020
0.0131634,8030
0.0131818,8040
0.0132008,8050
0.0132179,8060
0.0132611,8070
0.0132554,8080
0.0132749,8090
0.0132917,8100
0.013309,8110
0.0133757,8120
0.0133488,8130
0.0133651,8140
0.0133825,8150
0.0134038,8160
0.0134192,8170
0.0134403,8180
0.0134581,8190
0.0134902,8200
0.0134943,8210
0.0135149,8220
0.0135282,8230
0.0135483,8240
0.0135658,8250
0.0135876,8260
0.0136004,8270
0.0136186,8280
0.013644,8290
0.0136608,8300
0.0136907,8310
0.0136958,8320
0.0137113,8330
0.013737,8340
0.0137441,8350
0.0137841,8360
0.0137886,8370
0.0138062,8380
0.0138226,8390
0.0138428,8400
0.0138612,8410
0.0138762,8420
0.0138963,8430
0.0139129,8440
0.0139412,8450
0.0139495,8460
0.0139641,8470
0.0139904,8480
0.0140198,8490
0.0140248,8500
0.0140432,8510
0.014061,8520
0.0140802,8530
0.0141061,8540
0.0141165,8550
0.0141397,8560
0.0141528,8570
0.0141699,8580
0.0141897,8590
0.0142214,8600
0.0142354,8610
0.0142465,8620
0.0142629,8630
0.0142834,8640
0.0142971,8650
0.0143178,8660
0.0143476,8670
0.0143556,8680
0.0143703,8690
0.0143928,8700
0.0144067,8710
0.0144279,8720
0.0144473,8730
0.0144599,8740
0.0144817,8750
0.0144992,8760
0.0145165,8770
0.0145365,8780
0.0145529,8790
0.0145756,8800
0.0146073,8810
0.0146102,8820
0.014627,8830
0.0146464,8840
0.0147246,8850
0.0147551,8860
0.0147739,8870
0.0147685,8880
0.0147504,8890
0.0147629,8900
0.0147732,8910
0.0148055,8920
0.0148128,8930
0.0148481,8940
0.0148507,8950
0.01487,8960
0.0148867,8970
0.0148999,8980
0.0149236,8990
0.014939,9000
0.0149576,9010
0.0149873,9020
0.015022,9030
0.0150191,9040
0.0150278,9050
0.0150516,9060
0.0150811,9070
0.0150847,9080
0.0151044,9090
0.0151251,9100
0.0151369,9110
0.0151547,9120
0.0151802,9130
0.0151918,9140
0.0152281,9150
0.0152332,9160
0.0152536,9170
0.0152672,9180
0.0152938,9190
0.0153025,9200
0.0153189,9210
0.015342,9220
0.0153596,9230
0.0153785,9240
0.0153916,9250
0.0154149,9260
0.0154318,9270
0.0154859,9280
0.0154778,9290
0.0154888,9300
0.0155038,9310
0.0155222,9320
0.0155437,9330
0.0155585,9340
0.0155815,9350
0.0156191,9360
0.0156135,9370
0.0156342,9380
0.0156509,9390
0.0156712,9400
0.0156856,9410
0.0157054,9420
0.0157245,9430
0.015763,9440
0.0157648,9450
0.0157845,9460
0.0158038,9470
0.0158342,9480
0.0158357,9490
0.0158638,9500
0.015874,9510
0.01593,9520
0.0159047,9530
0.0159262,9540
0.0159434,9550
0.01597,9560
0.0159913,9570
0.0159976,9580
0.0160248,9590
0.016055,9600
0.0160537,9610
0.0160721,9620
0.0160918,9630
0.0161106,9640
0.0161317,9650
0.0162034,9660
0.0162291,9670
0.0162614,9680
0.0162445,9690
0.0162701,9700
0.0162496,9710
0.0162659,9720
0.0162748,9730
0.016308,9740
0.0163089,9750
0.0163284,9760
0.016347,9770
0.0163757,9780
0.0163873,9790
0.0164208,9800
0.0164273,9810
0.0164415,9820
0.0164584,9830
0.0164729,9840
0.0165013,9850
0.0165158,9860
0.0165301,9870
0.0165631,9880
0.0165695,9890
0.0165846,9900
0.0166093,9910
0.0166224,9920
0.0166386,9930
0.0166567,9940
0.0166794,9950
0.0166983,9960
0.0167126,9970
0.0167321,9980
0.0167459,9990
5.87e-07,0
1.27e-07,0
2.271e-06,10
2.573e-06,20
